statefips,year,month,ds_o3_pred
16,2013,7,50.90669959339095
16,2013,8,48.96112864257023
16,2013,9,39.64375417860791
16,2013,10,33.16366426628761
16,2013,11,28.07862988264783
16,2013,12,27.599099270480412
16,2014,1,30.00187955184719
16,2014,2,34.99734569732426
16,2014,3,41.094637961389815
16,2014,4,46.09077536236628
16,2014,5,45.787518270817
16,2014,6,42.59061472665526
16,2014,7,47.53496139922726
16,2014,8,47.17524499026669
16,2014,9,41.81719803787425
16,2014,10,36.220182727635766
16,2014,11,31.531370533390426
16,2014,12,26.905467065437044
17,2011,1,26.8021711351399
17,2011,2,34.16428735676611
17,2011,3,36.38258600733373
17,2011,4,37.75840299333492
17,2011,5,41.17786277018144
17,2011,6,45.83587063885807
17,2011,7,52.27966135081025
17,2011,8,44.940144832146714
17,2011,9,35.34874741451629
17,2011,10,34.94179135756874
17,2011,11,26.231026988501846
17,2011,12,19.98977934262247
17,2012,1,24.028419341816043
17,2012,2,28.741701928603355
17,2012,3,39.463527260056566
17,2012,4,44.03301142342595
17,2012,5,53.021801003867516
17,2012,6,57.84856422935888
17,2012,7,58.226051130747976
17,2012,8,53.67751832741202
17,2012,9,39.866088010533545
17,2012,10,31.63089062883821
17,2012,11,25.589403204560718
17,2012,12,23.239083523098447
17,2013,1,26.56581627606056
17,2013,2,32.92237749703042
17,2013,3,40.533123184828185
17,2013,4,43.95371346929789
17,2013,5,44.56946577080195
17,2013,6,46.30333807676552
17,2013,7,43.54373571312154
17,2013,8,44.920481608904396
17,2013,9,44.34007996120551
17,2013,10,29.86478411141746
17,2013,11,24.893626729550114
17,2013,12,24.163198258982035
17,2014,1,29.273876120241283
17,2014,2,34.61376767759911
17,2014,3,38.43091268688401
17,2014,4,44.57388616503073
17,2014,5,46.968869323603656
17,2014,6,45.547839302840714
17,2014,7,41.79864203374726
17,2014,8,43.87273836218521
17,2014,9,40.52219903689857
17,2014,10,30.156316535817247
17,2014,11,26.365562098580874
17,2014,12,19.559321212492943
18,2011,1,25.76404366709887
18,2011,2,32.598959603835254
18,2011,3,36.77042239733088
18,2011,4,42.155193534304914
18,2011,5,43.369809716850675
18,2011,6,50.35297147807818
18,2011,7,54.24135980905268
18,2011,8,47.75208754906171
18,2011,9,36.071149990410156
18,2011,10,37.085769053335596
18,2011,11,29.158109342724455
18,2011,12,21.995443352782026
18,2012,1,25.364078613916405
18,2012,2,28.947821236500285
18,2012,3,40.833834899970284
18,2012,4,43.691717642617064
18,2012,5,52.72863573353711
18,2012,6,57.051175368128355
18,2012,7,57.503947469403705
18,2012,8,52.562443302942825
18,2012,9,38.73304754700716
18,2012,10,32.56847644292483
18,2012,11,26.95367981087487
18,2012,12,23.287823380711885
18,2013,1,26.940633655115523
18,2013,2,32.99801512787986
18,2013,3,40.7717157955836
18,2013,4,43.814999551029736
18,2013,5,44.646459323853406
18,2013,6,48.77188931879324
18,2013,7,42.163344729186385
18,2013,8,44.97010615966342
18,2013,9,42.3193326145221
18,2013,10,30.602322655474634
18,2013,11,26.444971494887632
18,2013,12,25.203587566631498
18,2014,1,28.950448893413867
18,2014,2,35.88426502292493
18,2014,3,39.963330288296454
18,2014,4,45.550458141087155
18,2014,5,46.79214733311573
18,2014,6,45.896060146650136
18,2014,7,41.284423081617895
18,2014,8,42.93753501502632
18,2014,9,38.95575488131884
18,2014,10,28.984430287492078
18,2014,11,26.649291662009567
18,2014,12,20.642163546499
19,2011,1,31.916172546328692
19,2011,2,38.0126598547348
19,2011,3,40.90111691304363
19,2011,4,42.68877076638629
19,2011,5,44.433854006637645
19,2011,6,45.459033721493036
19,2011,7,45.41025755293033
19,2011,8,39.311641888256545
19,2011,9,33.31101466251818
19,2011,10,36.78222150527964
19,2011,11,28.899501300272547
19,2011,12,22.939244968878253
19,2012,1,25.774678221337727
19,2012,2,30.170551301493536
19,2012,3,39.97035729855588
19,2012,4,44.11031854210342
19,2012,5,50.68203266007511
19,2012,6,53.58644882842961
19,2012,7,53.114620862511536
19,2012,8,49.50294939184073
19,2012,9,41.21937278743643
19,2012,10,30.64129671410771
19,2012,11,27.520221316274487
19,2012,12,25.77167541337701
19,2013,1,29.09127330709822
19,2013,2,35.75573089738641
19,2013,3,43.460704164465575
19,2013,4,45.17168850133663
19,2013,5,43.84957300047167
19,2013,6,42.27776346990535
19,2013,7,45.22257818051887
19,2013,8,43.96894263174872
19,2013,9,42.17990773607566
19,2013,10,30.480196780676245
19,2013,11,25.717027165314857
19,2013,12,25.574517880761327
19,2014,1,30.73249941479576
19,2014,2,35.4062335062196
19,2014,3,39.91256381874655
19,2014,4,45.12441364001932
19,2014,5,47.16889216287756
19,2014,6,43.79365638842983
19,2014,7,37.50253443281239
19,2014,8,37.84640689457042
19,2014,9,36.14449749289211
19,2014,10,30.08942437057859
19,2014,11,28.22018567215848
19,2014,12,20.686636164944098
20,2011,1,31.220324985380284
20,2011,2,37.94342569366887
20,2011,3,40.72686920320252
20,2011,4,48.41631664610934
20,2011,5,45.63991795749658
20,2011,6,51.85485635239548
20,2011,7,58.8796766424835
20,2011,8,56.42116049168038
20,2011,9,41.97829635717974
20,2011,10,43.6124550799387
20,2011,11,31.102514858466495
20,2011,12,24.740446767542718
20,2012,1,27.75503985840587
20,2012,2,32.69439385985358
20,2012,3,43.202836045051036
20,2012,4,45.36454640021479
20,2012,5,53.93531205956547
20,2012,6,58.24403895724055
20,2012,7,60.2770084613625
20,2012,8,57.370720764939875
20,2012,9,44.92759117663258
20,2012,10,36.12830374316399
20,2012,11,34.22140589178816
20,2012,12,27.7707533648717
20,2013,1,30.86353625360438
20,2013,2,38.071740904949976
20,2013,3,44.27372585166995
20,2013,4,45.65474270166482
20,2013,5,43.97104704621919
20,2013,6,45.64293798721807
20,2013,7,50.148721559640144
20,2013,8,47.312121287762615
20,2013,9,47.717050502665685
20,2013,10,35.08084850242989
20,2013,11,30.022419808107323
20,2013,12,27.270494836157706
20,2014,1,32.22023160305851
20,2014,2,36.712523400277384
20,2014,3,41.95165213311002
20,2014,4,47.66525760399074
20,2014,5,48.46787581654717
20,2014,6,43.812672473429345
20,2014,7,44.70469292968619
20,2014,8,48.34520339994395
20,2014,9,38.82386624310377
20,2014,10,35.355239508847006
20,2014,11,30.086222828462954
20,2014,12,21.72394614095624
21,2011,1,29.909081608852752
21,2011,2,36.90157979648058
21,2011,3,41.399754609801384
21,2011,4,47.459363800906175
21,2011,5,44.285808812447684
21,2011,6,53.200968309684804
21,2011,7,52.89760748132582
21,2011,8,54.020480644969176
